00:03:07.265490 DCon13   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:25.281245 DCon06   Saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:03:25.284476 DCon06   Finished saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml"
00:03:25.314601 DCon01   Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
00:03:25.317952 DCon01   Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
00:03:25.324054 DCon16   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:31.749973 DCon12   Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
00:03:31.753198 DCon12   Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
00:03:31.758614 DCon11   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:32.249741 DCon19   Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
00:03:32.253142 DCon19   Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
00:03:32.258061 DCon16   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:33.754368 DCon11   Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
00:03:33.781871 DCon11   Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
00:03:33.789238 DCon15   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:34.249461 DCon15   Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
00:03:34.398063 DCon15   Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
00:03:34.402867 DCon17   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:56:18.886371 DCon182  Saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:56:18.890475 DCon182  Finished saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml"
01:00:51.629843 DCon195  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:00:51.634178 DCon195  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:00:51.640706 DCon204  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:00:52.186947 DCon204  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:00:52.191121 DCon204  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:00:52.196565 DCon200  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:00:52.750092 DCon200  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:00:52.754308 DCon200  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:00:52.760096 DCon197  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:00:54.534345 DCon193  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:00:54.537858 DCon193  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:00:54.542773 DCon197  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:00:55.041818 DCon202  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:00:55.045819 DCon202  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:00:55.050725 DCon205  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:00:58.766563 DCon201  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:00:58.773795 DCon201  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:00:58.785794 DCon203  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:00:59.336763 DCon203  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:00:59.340521 DCon203  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:00:59.346742 DCon195  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:12:47.039417 DCon232  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:12:47.630150 DCon232  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:12:47.659038 DCon238  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:12:47.948807 DCon238  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:12:48.548766 DCon238  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:12:48.557698 DCon243  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:12:48.953443 DCon243  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:12:49.563231 DCon243  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:12:49.574448 DCon234  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:12:49.863594 DCon234  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:12:49.868534 DCon234  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:12:49.874541 DCon232  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:12:50.249834 DCon232  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:12:50.773495 DCon232  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:12:50.779230 DCon242  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:12:51.067823 DCon242  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:12:51.682036 DCon242  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:12:51.687189 DCon225  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:12:56.353474 DCon244  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:12:56.631316 DCon244  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:12:56.648885 DCon244  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:12:56.954145 DCon210  Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
01:12:57.644378 DCon210  Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
01:12:57.655434 DCon234  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
01:14:46.390380 DCon225  ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={83cfdc66-4f20-4569-ad39-8722f7d472b3} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
01:14:46.414163 DCon225  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
